,Set Number,Name,Rarity,Category,Print,cardmarket url,cardmarket url uk
25,POTE-EN025,Exosister Martha,Starlight Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Exosister-Martha-V1-Secret-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Exosister-Martha-V1-Secret-Rare?sellerCountry=13
26,POTE-EN025,Exosister Martha,Secret Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Exosister-Martha-V2-Starlight-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Exosister-Martha-V2-Starlight-Rare?sellerCountry=13
27,POTE-EN026,Gunkan Suship Shari Red,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gunkan-Suship-Shari-Red,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gunkan-Suship-Shari-Red?sellerCountry=13
28,POTE-EN027,Rikka Princess,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Rikka-Princess,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Rikka-Princess?sellerCountry=13
29,POTE-EN028,Mathmech Circular,Super Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Mathmech-Circular,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Mathmech-Circular?sellerCountry=13
30,POTE-EN029,Krawler Soma,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Krawler-Soma,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Krawler-Soma?sellerCountry=13
31,POTE-EN030,Mokey Mokey Adrift,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Mokey-Mokey-Adrift,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Mokey-Mokey-Adrift?sellerCountry=13
32,POTE-EN031,Kurikara Divincarnate,Secret Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Kurikara-Divincarnate-V1-Secret-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Kurikara-Divincarnate-V1-Secret-Rare?sellerCountry=13
33,POTE-EN031,Kurikara Divincarnate,Starlight Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Kurikara-Divincarnate-V2-Starlight-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Kurikara-Divincarnate-V2-Starlight-Rare?sellerCountry=13
34,POTE-EN032,Aussa the Earth Channeler,Ultra Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Aussa-the-Earth-Channeler-V1-Ultra-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Aussa-the-Earth-Channeler-V1-Ultra-Rare?sellerCountry=13
35,POTE-EN032,Aussa the Earth Channeler,Starlight Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Aussa-the-Earth-Channeler-V2-Starlight-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Aussa-the-Earth-Channeler-V2-Starlight-Rare?sellerCountry=13
36,POTE-EN033,Grandtusk Dragon,Super Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Grandtusk-Dragon,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Grandtusk-Dragon?sellerCountry=13
37,POTE-EN034,Eka the Flame Buddy,Super Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Eka-the-Flame-Buddy,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Eka-the-Flame-Buddy?sellerCountry=13
38,POTE-EN035,Propa Gandake,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Propa-Gandake,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Propa-Gandake?sellerCountry=13
39,POTE-EN036,Cartorhyn the Hidden Gem of the Seafront,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Cartorhyn-the-Hidden-Gem-of-the-Seafront,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Cartorhyn-the-Hidden-Gem-of-the-Seafront?sellerCountry=13
40,POTE-EN037,Emperor Tanuki's Critter Count,Super Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Emperor-Tanukis-Critter-Count,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Emperor-Tanukis-Critter-Count?sellerCountry=13
41,POTE-EN038,Nightmell the Dark Bonder,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Nightmell-the-Dark-Bonder,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Nightmell-the-Dark-Bonder?sellerCountry=13
42,POTE-EN039,Hydralander Orbit,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Hydralander-Orbit,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Hydralander-Orbit?sellerCountry=13
43,POTE-EN040,Vendread Scavenger,Super Rare,Effect Ritual Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vendread-Scavenger,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vendread-Scavenger?sellerCountry=13
44,POTE-EN041,Elemental HERO Shining Neos Wingman,Ultra Rare,Effect Fusion Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Elemental-HERO-Shining-Neos-Wingman,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Elemental-HERO-Shining-Neos-Wingman?sellerCountry=13
45,POTE-EN042,Tearlaments Kitkallos,Ultra Rare,Effect Fusion Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Kitkallos,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Kitkallos?sellerCountry=13
46,POTE-EN043,Tearlaments Kaleido-Heart,Secret Rare,Effect Fusion Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Kaleido-Heart,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Kaleido-Heart?sellerCountry=13
47,POTE-EN044,Gem-Knight Lady Rose Diamond,Super Rare,Effect Fusion Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gem-Knight-Lady-Rose-Diamond,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gem-Knight-Lady-Rose-Diamond?sellerCountry=13
48,POTE-EN045,Merry Melffys,Common,Effect Synchro Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Merry-Melffys,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Merry-Melffys?sellerCountry=13
49,POTE-EN046,P.U.N.K. JAM Dragon Drive,Super Rare,Effect Synchro Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/PUNK-JAM-Dragon-Drive,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/PUNK-JAM-Dragon-Drive?sellerCountry=13
50,POTE-EN047,Gigantic Spright,Ultra Rare,Effect Xyz Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gigantic-Spright,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gigantic-Spright?sellerCountry=13
51,POTE-EN048,Ashura King,Secret Rare,Effect Xyz Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ashura-King,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ashura-King?sellerCountry=13
52,POTE-EN049,Spright Elf,Ultra Rare,Effect Link Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Elf,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Elf?sellerCountry=13
53,POTE-EN050,Scareclaw Light-Heart,Ultra Rare,Effect Link Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Scareclaw-Light-Heart,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Scareclaw-Light-Heart?sellerCountry=13
54,POTE-EN051,EN - Engage Neo Space,Super Rare,Normal Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/EN-Engage-Neo-Space,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/EN-Engage-Neo-Space?sellerCountry=13
55,POTE-EN052,Instant Contact,Secret Rare,Normal Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Instant-Contact,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Instant-Contact?sellerCountry=13
56,POTE-EN053,EN Wave,Super Rare,Continuous Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/EN-Wave,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/EN-Wave?sellerCountry=13
57,POTE-EN054,Over Fusion,Common,Quick-Play Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Over-Fusion,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Over-Fusion?sellerCountry=13
58,POTE-EN055,Spright Starter,Ultra Rare,Quick-Play Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Starter,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Starter?sellerCountry=13
59,POTE-EN056,Spright Gamma Burst,Common,Quick-Play Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Gamma-Burst,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Gamma-Burst?sellerCountry=13
60,POTE-EN057,Spright Smashers,Common,Quick-Play Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Smashers,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Spright-Smashers?sellerCountry=13
61,POTE-EN058,Branded in Central Dogmatika,Common,Continuous Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Branded-in-Central-Dogmatika,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Branded-in-Central-Dogmatika?sellerCountry=13
62,POTE-EN059,Scareclaw Straddle,Super Rare,Quick-Play Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Scareclaw-Straddle,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Scareclaw-Straddle?sellerCountry=13
63,POTE-EN060,Primeval Planet Perlereino,Secret Rare,Field Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Primeval-Planet-Perlereino,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Primeval-Planet-Perlereino?sellerCountry=13
64,POTE-EN061,Vernusylph Corolla,Super Rare,Continuous Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vernusylph-Corolla,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vernusylph-Corolla?sellerCountry=13
65,POTE-EN062,Scatter Fusion,Super Rare,Continuous Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Scatter-Fusion,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Scatter-Fusion?sellerCountry=13
66,POTE-EN063,Melffy Staring Contest,Super Rare,Continuous Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Melffy-Staring-Contest,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Melffy-Staring-Contest?sellerCountry=13
67,POTE-EN064,Ravenous Vendread,Common,Ritual Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ravenous-Vendread,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ravenous-Vendread?sellerCountry=13
68,POTE-EN065,P.U.N.K. JAM Extreme Session,Super Rare,Field Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/PUNK-JAM-Extreme-Session,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/PUNK-JAM-Extreme-Session?sellerCountry=13
69,POTE-EN066,Rikka Konkon,Super Rare,Field Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Rikka-Konkon,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Rikka-Konkon?sellerCountry=13
70,POTE-EN067,Ultimate Slayer,Starlight Rare,Normal Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ultimate-Slayer-V1-Secret-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ultimate-Slayer-V1-Secret-Rare?sellerCountry=13
71,POTE-EN067,Ultimate Slayer,Secret Rare,Normal Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ultimate-Slayer-V2-Starlight-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ultimate-Slayer-V2-Starlight-Rare?sellerCountry=13
72,POTE-EN068,Digit Jamming,Common,Continuous Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Digit-Jamming,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Digit-Jamming?sellerCountry=13
73,POTE-EN069,Favorite Contact,Ultra Rare,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Favorite-Contact,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Favorite-Contact?sellerCountry=13
74,POTE-EN070,Branded Expulsion,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Branded-Expulsion,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Branded-Expulsion?sellerCountry=13
75,POTE-EN071,Tearlaments Metanoise,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Metanoise,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Metanoise?sellerCountry=13
76,POTE-EN072,Tearlaments Sulliek,Common,Continuous Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Sulliek,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Sulliek?sellerCountry=13
77,POTE-EN073,Tearlaments Cryme,Common,Counter Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Cryme,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Tearlaments-Cryme?sellerCountry=13
78,POTE-EN074,Vernusylph and the Changing Season,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vernusylph-and-the-Changing-Season,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vernusylph-and-the-Changing-Season?sellerCountry=13
79,POTE-EN075,Vernusylph and the Flower Buds,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vernusylph-and-the-Flower-Buds,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vernusylph-and-the-Flower-Buds?sellerCountry=13
80,POTE-EN076,Exosister Returnia,Super Rare,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Exosister-Returnia,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Exosister-Returnia?sellerCountry=13
81,POTE-EN077,Amaze Attraction Thrill Train,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Amaze-Attraction-Thrill-Train,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Amaze-Attraction-Thrill-Train?sellerCountry=13
82,POTE-EN078,Terrors of the Overroot,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Terrors-of-the-Overroot,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Terrors-of-the-Overroot?sellerCountry=13
83,POTE-EN079,Draco-Utopian Aura,Secret Rare,Counter Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Draco-Utopian-Aura,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Draco-Utopian-Aura?sellerCountry=13
84,POTE-EN080,Double Dust Tornado Twins,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Double-Dust-Tornado-Twins,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Double-Dust-Tornado-Twins?sellerCountry=13
85,POTE-EN081,Vanguard of the Underground Emperor,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vanguard-of-the-Underground-Emperor,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Vanguard-of-the-Underground-Emperor?sellerCountry=13
86,POTE-EN082,"Garura, Wings of Resonant Life",Ultra Rare,Effect Fusion Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Garura-Wings-of-Resonant-Life,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Garura-Wings-of-Resonant-Life?sellerCountry=13
87,POTE-EN083,Pitknight Earlie,Common,Effect Link Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Pitknight-Earlie,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Pitknight-Earlie?sellerCountry=13
88,POTE-EN084,Moray of Avarice,Ultra Rare,Normal Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Moray-of-Avarice,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Moray-of-Avarice?sellerCountry=13
89,POTE-EN085,Mimesis Elephant,Common,Continuous Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Mimesis-Elephant,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Mimesis-Elephant?sellerCountry=13
90,POTE-EN086,"Paces, Light of the Ghoti",Ultra Rare,Effect Tuner monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Paces-Light-of-the-Ghoti,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Paces-Light-of-the-Ghoti?sellerCountry=13
